Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR015207	Protein of unknown function DUF1931	interpro	family		PF09123	
IPR015208	T4 recombination endonuclease VII, dimerisation	interpro	domain		PF09124	
IPR015209	Cytochrome C oxidase subunit IIa, transmembrane domain	interpro	domain		PF09125	
IPR015210	Type II restriction enzyme NaeI	interpro	domain		PF09126	GO:0009036,GO:0009307
IPR015211	Peptidase M1, leukotriene A4 hydrolase/aminopeptidase C-terminal	interpro	domain		SM01263,PF09127	GO:0008237,GO:0008270
IPR015212	Regulator of G protein signalling-like domain	interpro	domain		PF09128	GO:0005085,GO:0005737
IPR015213	Cholesterol oxidase, substrate-binding	interpro	domain		PF09129	
IPR015214	Pesticidal crystal protein, central domain, Cry2A/18	interpro	domain		PF09131	
IPR015215	BmKX domain	interpro	domain		PF09132	
IPR015216	SANT associated	interpro	domain		PF09133	
IPR015217	Invasin, domain 3	interpro	domain		PF09134	
IPR015220	Glucodextranase, N-terminal	interpro	domain		cd07430,PF09137	
IPR015221	Ubiquitin-related modifier 1	interpro	family		cd01764,MF_03048,PF09138,PIRSF037379,PTHR14986	GO:0034227,GO:0005737
IPR015222	Phosphatidate cytidylyltransferase, mitochondrial	interpro	family		PF09139,PIRSF028840,PTHR13619	GO:0004605,GO:0032049
IPR015223	ATPase MipZ	interpro	family		PF09140	
IPR015224	Talin, central	interpro	domain		PF09141	GO:0005200,GO:0001726,GO:0005925
IPR015225	tRNA pseudouridine synthase II, TruB, subfamily 2, C-terminal	interpro	domain		PF09142	GO:0003723,GO:0009982,GO:0001522,GO:0009451
IPR015226	Type III effector HopF2	interpro	family		PF09143	
IPR015227	Mitogen, Yersinia pseudotuberculosis	interpro	family		PF09144	
IPR015228	SWA2-like, ubiquitin-associated domain	interpro	domain		cd14329,PF09145	
IPR015230	Carbapenam-3-carboxylate synthase, N-terminal	interpro	domain		PF09147	
IPR015231	Protein of unknown function DUF1934	interpro	family		PF09148	
IPR015232	Domain of unknown function DUF1935	interpro	domain		PF09149	
IPR015233	Orange carotenoid-binding protein, N-terminal	interpro	domain		PF09150,PS51773	GO:0031404,GO:0016037,GO:0030089
IPR015234	Domain of unknown function DUF1936	interpro	domain		PF09151	
IPR015235	Domain of unknown function DUF1937	interpro	domain		PF09152	
IPR015236	Methylated DNA-protein cysteine methyltransferase, ribonuclease H-like domain	interpro	domain		PF09153	GO:0005737
IPR015237	Alpha-amylase C-terminal, prokaryotic	interpro	domain		PF09154	GO:0004553
IPR015238	Protein of unknown function DUF1940	interpro	family		PF09155	
IPR015239	Anthrax toxin lethal factor, central domain	interpro	domain		PF09156	
IPR015240	tRNA pseudouridine synthase II, TruB, subfamily 1, C-terminal	interpro	domain		PF09157	GO:0003723,GO:0009982,GO:0001522,GO:0009451
IPR015241	Transcription regulator MotA, C-terminal	interpro	domain		PF09158	
IPR015242	Mitochondrial resolvase Ydc2, catalytic	interpro	domain		PF09159	
IPR015243	FimH, mannose-binding domain	interpro	domain		cd10466,PF09160	
IPR015245	Nuclear RNA export factor Tap, RNA-binding domain	interpro	domain		PF09162	GO:0003723,GO:0006406,GO:0005737
IPR015246	Formate dehydrogenase, transmembrane	interpro	domain		PF09163	
IPR015247	Vitamin D binding protein, domain III	interpro	domain		PF09164	
IPR015248	Ubiquinol-cytochrome c reductase iron-sulphur subunit, N-terminal	interpro	domain		PF09165	GO:0008121
IPR015249	Biliverdin reductase, catalytic	interpro	domain		PF09166	GO:0004074,GO:0008270,GO:0042167
IPR015250	MPT63-like	interpro	domain		PF09167	GO:0005615
IPR015251	X-Prolyl dipeptidyl aminopeptidase PepX, N-terminal domain	interpro	domain		SM00940,PF09168	GO:0008239,GO:0006508
IPR015252	Breast cancer type 2 susceptibility protein, helical domain	interpro	domain		PF09169	
IPR015253	Stn1, C-terminal	interpro	domain		PF09170	
IPR015254	N-glycosylase/DNA lyase-like	interpro	family		PF09171	GO:0003906,GO:0016799
IPR015255	Vitellinogen, open beta-sheet	interpro	domain		SM01169,PF09172	GO:0005319,GO:0006869
IPR015256	Initiation factor eIF2 gamma, C-terminal	interpro	domain		cd15490,PF09173	
IPR015257	Repressor of RNA polymerase III transcription Maf1	interpro	family		PIRSF037240,PF09174,PTHR22504	GO:0016480
IPR015258	Vitellinogen, beta-sheet shell	interpro	domain		SM01170,PF09175	GO:0005319,GO:0006869
IPR015259	Methylene-tetrahydromethanopterin dehydrogenase, N-terminal	interpro	domain		PF09176	
IPR015260	Syntaxin 6, N-terminal	interpro	domain		PF09177	GO:0048193,GO:0016020
IPR015261	4-alpha-glucanotransferase, C-terminal	interpro	domain		PF09178	
IPR015262	tRNA(Ile)-lysidine synthase, substrate-binding domain	interpro	domain		PF09179	GO:0000166,GO:0005524,GO:0016879,GO:0008033,GO:0005737
IPR015264	Prolyl-tRNA synthetase, class II, C-terminal, archaeal-type	interpro	domain		PF09181	GO:0000166,GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR015265	Bacterial purine repressor, N-terminal	interpro	domain		PF09182	GO:0003677,GO:0006355
IPR015266	Domain of unknown function DUF1947	interpro	domain		PF09183	
IPR015267	Protein phosphatase 4 core regulatory subunit R2	interpro	family		PF09184,PTHR16487	GO:0019888,GO:0030289
IPR015268	Protein of unknown function DUF1948	interpro	family		PF09185	
IPR015269	Uncharacterised domain UPF0029, Impact, C-terminal	interpro	domain		PF09186	
IPR015270	Protein RDM1, plant	interpro	family		PTHR36366,PF09187	GO:0080188,GO:0005634
IPR015271	Protein of unknown function DUF1951	interpro	family		PF09188	
IPR015272	Molybdopterin cofactor biosynthesis MoaD-related, C-terminal	interpro	domain		PF09189	
IPR015273	Cysteinyl-tRNA synthetase, class Ia, DALR	interpro	domain		SM00840,PF09190	GO:0000166,GO:0004817,GO:0005524,GO:0006423,GO:0005737
IPR015274	CD4, extracellular	interpro	domain		PF09191	
IPR015275	Actin-fragmin kinase, catalytic domain	interpro	domain		cd05124,PF09192	
IPR015276	Cholecystokinin A receptor, N-terminal	interpro	domain		PF09193	
IPR015277	Restriction endonuclease, type II, AvaI/BsoBI	interpro	family		PF09194	GO:0003677,GO:0009036,GO:0009307
IPR015278	Type-2 restriction enzyme BglII	interpro	family		PF09195	GO:0009036,GO:0009307
IPR015279	Malto-oligosyltrehalose synthase, C-terminal	interpro	domain		PF09196	
IPR015280	Rap1, DNA-binding domain	interpro	domain		PF09197	GO:0003677
IPR015281	DNA beta-glucosyltransferase, bacteriophage	interpro	family		PF09198	GO:0033821,GO:0099018
IPR015282	Staphylococcal superantigen-like OB-fold domain	interpro	domain		PF09199	
IPR015283	Monellin	interpro	family		PF09200	
IPR015284	Signal recognition particle (SRP) receptor alpha subunit, N-terminal	interpro	domain		PF09201	GO:0005515
IPR015285	RIO2 kinase winged helix domain, N-terminal	interpro	domain		PF09202	GO:0004674,GO:0005524,GO:0006468
IPR015286	Porin family, mycobacterial-type	interpro	family		PF09203	
IPR015287	Colicin D immunity protein domain	interpro	domain		PF09204	GO:0015643,GO:0030153
IPR015288	Protein of unknown function DUF1955	interpro	family		PF09205	
IPR015289	Alpha-L-arabinofuranosidase B, catalytic	interpro	domain		PF09206	GO:0046556,GO:0031221
IPR015290	Yeast killer toxin	interpro	family		PF09207	GO:0008219,GO:0005576
IPR015291	Restriction endonuclease, type II, MspI	interpro	family		PF09208	GO:0003677,GO:0009036,GO:0009307
IPR015292	Transcription regulator YbiH, C-terminal	interpro	domain		PF09209	
IPR015293	1,4-alpha-glucan branching enzyme, C-terminal	interpro	domain		PF09210	
IPR015294	Penicillin-binding protein 4, C-terminal domain	interpro	domain		PF09211	
IPR015295	Carbohydrate binding module 27	interpro	domain		PF09212	
IPR015296	Chemokine-binding M3, viral	interpro	family		PF09213	GO:0019956
IPR015297	Bacteriophage PRD1, P2, absorption protein	interpro	family		PF09214	
IPR015298	Bacteriophage T4, Gp8	interpro	domain		PF09215	
IPR015299	Gamete antigen, Plasmodium species	interpro	family		PF09216	
IPR015300	DNA-binding pseudobarrel domain superfamily	interpro	homologous_superfamily		SSF101936,G3DSA:2.40.330.10	
IPR015302	Major coat protein, L-A virus	interpro	domain		PF09220	
IPR015303	Fimbrial adhesin F17-AG, lectin domain	interpro	domain		PF09222	GO:0044406,GO:0009289
IPR015304	ZinT domain	interpro	domain		PF09223	GO:0008270
IPR015305	Protein of unknown function DUF1961	interpro	family		PF09224	
IPR015306	Restriction endonuclease, type II, PvuII	interpro	family		cd22351,PF09225	
IPR015307	Restriction endonuclease, type II, HincII	interpro	family		cd22329,PF09226	GO:0003677,GO:0009036,GO:0009307
IPR015308	Bubble protein	interpro	family		cd22742,PF09227	
IPR015309	Transcriptional repressor TraM	interpro	family		PF09228,PIRSF017930	GO:0045892
IPR015310	Activator of Hsp90 ATPase AHSA1-like, N-terminal	interpro	domain		SM01000,PF09229,PTHR13009	GO:0001671,GO:0051087
IPR015311	DNA fragmentation factor 40, C-terminal	interpro	domain		PF09230	GO:0016787,GO:0006309,GO:0005634,GO:0005737
IPR015312	Inner layer core protein VP3, Phytoreovirus	interpro	family		PF09231	GO:0005198
IPR015313	Protein Her-1	interpro	family		PTHR37979,PF09232	
IPR015314	Restriction endonuclease, type II, EcoRV	interpro	family		PF09233	
IPR015315	Protein of unknown function DUF1963	interpro	family		PF09234	
IPR015316	Ste50, sterile alpha motif	interpro	domain		cd09536,PF09235	
IPR015317	Alpha-haemoglobin stabilising protein	interpro	family		PTHR15914,PF09236	GO:0030492,GO:0006457,GO:0030218,GO:0050821
IPR015318	Zinc finger, GAGA-binding factor	interpro	domain		PF09237	
IPR015319	Interleukin-4 receptor alpha, N-terminal	interpro	domain		PF09238	GO:0004896,GO:0002532,GO:0016020
IPR015320	DNA topoisomerase VI, subunit B, transducer	interpro	domain		cd00823,PF09239	GO:0003677,GO:0003918,GO:0006265
IPR015321	Type I cytokine receptor, cytokine-binding domain	interpro	domain		PF09240	
IPR015322	Cyclin domain, herpesvirus	interpro	domain		PF09241	
IPR015323	Flavocytochrome c sulphide dehydrogenase, flavin-binding	interpro	domain		PF09242	GO:0016491,GO:0050660
IPR015324	Ribosomal protein Rsm22-like	interpro	family		PF09243	GO:0008168,GO:0006412
IPR015325	Sucrose phosphorylase, C-terminal	interpro	domain		PF09244	
IPR015326	Mycoplasma arthritidis-derived mitogen	interpro	family		PF09245	
IPR015327	Smaug, PHAT analogous topology	interpro	domain		PF09246	GO:0003723,GO:0006355
IPR015328	Domain of unknown function DUF1965	interpro	domain		PF09248	
IPR015329	tRNA nucleotidyltransferase, substrate binding	interpro	domain		PF09249	GO:0004810
IPR015330	DNA primase/polymerase, bifunctional, N-terminal	interpro	domain		SM00943,PF09250	
IPR015331	P22 tailspike C-terminal domain	interpro	domain		PF09251	
IPR015332	Major allergen I polypeptide chain 2-like	interpro	family		PTHR31708,PF09252	GO:0005615
IPR015333	Pollen allergen ole e 6	interpro	family		PTHR35632,PF09253	
IPR015334	FokI, cleavage domain	interpro	domain		PF09254	GO:0009036,GO:0009307
IPR015335	F1 capsule antigen	interpro	family		PF09255	
IPR015336	Tumour necrosis factor receptor 13C, TALL-1 binding domain	interpro	domain		PF09256	
IPR015337	BCMA, TALL-1 binding	interpro	domain		PF09257	
IPR015338	Glycosyl transferase 64 domain	interpro	domain		PF09258	GO:0016757,GO:0016020
IPR015339	Immunomodulatory protein FIP-Fve, fungal	interpro	family		PF09259	GO:0030246,GO:0002682
IPR015340	Alpha-amylase, domain C	interpro	domain		PF09260	GO:0004556,GO:0005509,GO:0016052
IPR015341	Glycoside hydrolase family 38, central domain	interpro	domain		SM00872,PF09261	GO:0004559,GO:0006013
IPR015342	Peroxisomal ATPase PEX1, N-terminal C-lobe	interpro	domain		PF09262	GO:0005524,GO:0007031,GO:0005777
IPR015343	Peroxisomal ATPase PEX1, N-terminal N-lobe	interpro	domain		PF09263	
IPR015344	Vibrio cholerae neuraminidase, lectin-like domain	interpro	domain		PF09264	GO:0033691
IPR015345	Cytokinin dehydrogenase 1, FAD/cytokinin binding domain	interpro	domain		PF09265	GO:0019139,GO:0050660,GO:0009690
IPR015346	DNA topoisomerase I, N-terminal, viral	interpro	domain		PF09266	GO:0003677,GO:0003916,GO:0006265
IPR015347	STAT transcription factor homologue, coiled coil	interpro	domain		PF09267	
IPR015348	Clathrin, heavy chain, linker, core motif	interpro	domain		PF09268	GO:0005198,GO:0006886,GO:0016192,GO:0030130,GO:0030132
IPR015349	GTP-binding protein OBG, C-terminal	interpro	domain		PS51881,TIGR03595,PF09269	GO:0000166
IPR015350	Beta-trefoil DNA-binding domain	interpro	domain		SM01268,PF09270	GO:0000978,GO:0006357
IPR015351	RBP-J/Cbf11/Cbf12, DNA binding	interpro	domain		SM01267,PF09271	GO:0003677,GO:0003700,GO:0006355,GO:0005634
IPR015352	Hepsin, SRCR domain	interpro	domain		PF09272	GO:0004252,GO:0070008
IPR015353	Rubisco LSMT, substrate-binding domain	interpro	domain		PF09273	
IPR015354	DNA partition complex, ParG	interpro	family		PF09274	
IPR015355	Pertussis toxin, subunit S4	interpro	family		PF09275	
IPR015356	Pertussis toxin, subunit S5	interpro	family		PF09276	
IPR015357	Erythronolide synthase, docking	interpro	domain		PF09277	
IPR015358	Transcription regulator MerR, DNA binding	interpro	domain		PF09278	
IPR015359	Phosphoinositide-specific phospholipase C, EF-hand-like domain	interpro	domain		PF09279	
IPR015360	XPC-binding domain	interpro	domain		PF09280	GO:0003684,GO:0006289,GO:0043161
IPR015361	Taq polymerase, thermostable, exonuclease region	interpro	domain		PF09281	GO:0001882,GO:0003887,GO:0006260,GO:0006281
IPR015362	WIBG, Mago-binding	interpro	domain		SM01273,PF09282	
IPR015364	Rhamnogalacturonase B, N-terminal	interpro	domain		PF09284	GO:0016837,GO:0030246,GO:0005975
IPR015365	Elongation factor P, C-terminal	interpro	domain		cd05794,SM00841,PF09285	GO:0043043,GO:0005737
IPR015366	Peptidase S53, activation domain	interpro	domain		cd11377,SM00944,PF09286	GO:0008236
IPR015367	Transcription factor CEP-1, DNA-binding domain	interpro	domain		PF09287	
IPR015368	Ubiquitin-conjugating enzyme, C-terminal fungi	interpro	domain		PF09288	
IPR015369	Follistatin/Osteonectin EGF domain	interpro	domain		PF09289	GO:0005515
IPR015370	T-cell receptor alpha chain, constant domain	interpro	domain		cd07688,PF09291	
IPR015371	Endonuclease VIII-like 1, DNA binding	interpro	domain		PF09292	
IPR015373	Interferon/interleukin receptor domain	interpro	domain		PF09294	
IPR015374	Chs5p-Arf1p binding	interpro	family		PTHR31975,PF09295	
IPR015375	NADH pyrophosphatase-like, N-terminal	interpro	domain		PF09296	GO:0016787
IPR015376	Zinc ribbon, NADH pyrophosphatase	interpro	domain		PF09297	GO:0016787,GO:0046872
IPR015377	Fumarylacetoacetase, N-terminal	interpro	domain		PF09298	GO:0004334,GO:0009072
IPR015378	Transposase-like, Mu, C-terminal	interpro	domain		PF09299	
IPR015379	Tectiviridae, minor capsid	interpro	family		PF09300	GO:0019028
IPR015381	XLF-like, N-terminal	interpro	domain		PF09302	GO:0006302,GO:0005634
IPR015382	KCNMB2, ball/chain domain	interpro	domain		PF09303	
IPR015383	Cortexillin, coiled coil	interpro	domain		PF09304	
IPR015384	TACI, cysteine-rich domain	interpro	domain		PF09305	
IPR015385	Bacteriophage P22, Gp8, scaffold	interpro	family		PF09306	
IPR015386	MHC class II-associated invariant chain/CLIP, MHC II-interacting	interpro	domain		PF09307	GO:0042289,GO:0006886,GO:0006955,GO:0019882,GO:0016020
IPR015387	LuxQ, periplasmic domain	interpro	domain		PF09308	GO:0004673,GO:0016791
IPR015388	FCP1-like phosphatase, C-terminal	interpro	domain		PF09309	
IPR015389	POU, class 2, associating factor 1	interpro	family		PF09310	
IPR015390	Rabaptin, GTPase-Rab5 binding domain	interpro	domain		PF09311	
IPR015391	SurA N-terminal	interpro	domain		PF09312	
IPR015392	Domain of unknown function DUF1971	interpro	domain		PF09313	
IPR015393	Domain of unknown function DUF1972	interpro	domain		PF09314	
IPR015395	C-myb, C-terminal	interpro	domain		PF09316	
IPR015396	Acyl-CoA dehydrogenase, C-terminal, bacterial-type	interpro	domain		PF09317	GO:0003995,GO:0033539
IPR015397	Glycosyl transferase 1, domain A	interpro	domain		PF09318	
IPR015399	Domain of unknown function DUF1977, DnaJ-like	interpro	domain		PF09320	
IPR015400	Domain of unknown function DUF1978, IncA	interpro	domain		PF09321	
IPR015401	Transposase, MuDR, N-terminal	interpro	domain		PF09322	
IPR015402	Protein of unknown function DUF1980	interpro	family		TIGR03943	
IPR015403	Mon2/Sec7/BIG1-like, HDS	interpro	domain		PF09324	
IPR015404	Sorting nexin/Vps5-like, C-terminal	interpro	domain		PF09325	
IPR015405	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial-like	interpro	domain		PF09326	GO:0016651,GO:0051536
IPR015406	Domain of unknown function DUF1983	interpro	domain		PF09327	
IPR015407	Phytochelatin synthase, C-terminal	interpro	domain		PF09328	GO:0016756,GO:0046872,GO:0010038,GO:0046938
IPR015408	Zinc finger, Mcm10/DnaG-type	interpro	domain		PF09329	GO:0006260,GO:0005634
IPR015409	D-lactate dehydrogenase, membrane binding, C-terminal	interpro	domain		PF09330	GO:0050660,GO:0055085
IPR015410	Domain of unknown function DUF1985	interpro	domain		PF09331	
IPR015411	Replication factor Mcm10, C-terminal	interpro	domain		SM01280,PF09332	
IPR015412	Atg2/VPS13, C-terminal	interpro	domain		PF09333	
IPR015413	Methionyl/Leucyl tRNA synthetase	interpro	domain		PF09334	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR015414	Transmembrane protein TMEM64	interpro	family		PTHR12677	GO:0016020
IPR015415	Spastin/Vps4, C-terminal	interpro	domain		PF09336	
IPR015416	Zinc finger, H2C2-type, histone UAS binding	interpro	domain		PF09337	
IPR015417	Glycine/sarcosine/betaine reductase complex, protein B, subunit alpha/ beta	interpro	family		PF09338	GO:0050485
IPR015418	Chromatin modification-related protein Eaf6	interpro	family		PF09340,PTHR13476	GO:0000123
IPR015419	CTAG/Pcc1 family	interpro	family		PTHR31283,PF09341	
IPR015420	Peptidase S1A, nudel	interpro	domain		PF09342	
IPR015421	Pyridoxal phosphate-dependent transferase, major domain	interpro	homologous_superfamily		G3DSA:3.40.640.10	
IPR015422	Pyridoxal phosphate-dependent transferase, small domain	interpro	homologous_superfamily		G3DSA:3.90.1150.10	
IPR015423	Influenza matrix M1, N-terminal subdomain 1	interpro	homologous_superfamily		G3DSA:1.20.91.10	
IPR015424	Pyridoxal phosphate-dependent transferase	interpro	homologous_superfamily		SSF53383	
IPR015425	Formin, FH2 domain	interpro	domain		PS51444,SM00498,PF02181	
IPR015426	Acetaldehyde dehydrogenase, C-terminal	interpro	domain		PF09290	GO:0008774,GO:0009056
IPR015433	Phosphatidylinositol kinase	interpro	family		PTHR10048	GO:0046854
IPR015439	Integrin beta-2 superfamily	interpro	homologous_superfamily		G3DSA:6.20.50.10	
IPR015443	Aldose 1-epimerase	interpro	family		PIRSF005096	GO:0016853,GO:0019318
IPR015445	TATA-Box binding protein-like 1	interpro	family		cd04517	
IPR015446	Bone morphogenetic protein 1/tolloid-like protein	interpro	family		PIRSF001199	GO:0004222
IPR015449	Potassium channel, calcium-activated, SK	interpro	family		PTHR10153,PF03530,PR01451	GO:0016286,GO:0006813,GO:0016020
IPR015458	MDM4	interpro	family		PIRSF500699	
IPR015468	CD8 alpha subunit	interpro	family		PTHR10441	
IPR015476	Calcitonin gene-related peptide	interpro	family		PR00817	GO:0005179,GO:0005576
IPR015482	Syntrophin	interpro	family		PTHR10554	GO:0005198
IPR015484	CD3 protein, epsilon/gamma/delta subunit	interpro	family		PTHR10570	
IPR015486	Interleukin-2 receptor alpha	interpro	family		PTHR10573	GO:0004911,GO:0019976
IPR015495	Myb transcription factor, plants	interpro	family		PTHR10641,PTHR47999,PTHR47994,PTHR47998	
IPR015496	Ubiquilin	interpro	family		PTHR10677	
IPR015499	Cholecystokinin-like	interpro	family		PTHR10786	GO:0005184,GO:0007586
IPR015500	Peptidase S8, subtilisin-related	interpro	family		PR00723	
IPR015505	Coronin	interpro	family		PTHR10856	
IPR015506	Dishevelled-related protein	interpro	family		PTHR10878	GO:0016055
IPR015507	Ribosomal RNA large subunit methyltransferase E	interpro	family		MF_01547,PIRSF005461	GO:0008168,GO:0001510
IPR015510	Peptidoglycan recognition protein	interpro	family		PTHR11022	
IPR015513	Semaphorin 3E, Sema domain	interpro	domain		cd11253	
IPR015517	Deoxycytidylate deaminase-related	interpro	family		PTHR11086	
IPR015520	Imaginal disc growth factor	interpro	family		cd02873	
IPR015525	Breast cancer type 2 susceptibility protein	interpro	family		PIRSF002397,PTHR11289	GO:0000724,GO:0006281
IPR015526	Frizzled/secreted frizzled-related protein	interpro	family		PTHR11309	
IPR015527	Peptidase C26, gamma-glutamyl hydrolase	interpro	family		PS51275,PTHR11315	GO:0008242
IPR015528	Interleukin-12 beta	interpro	family		PIRSF038007,PR01928	
IPR015529	Interleukin-18	interpro	family		PIRSF015162,PR01933	
IPR015550	Glucagon	interpro	family		PTHR11418	GO:0005179
IPR015556	Plasminogen activator inhibitor-2	interpro	family		cd19562	GO:0004867,GO:0043066
IPR015576	Spermine synthase, animal	interpro	family		PTHR46315	GO:0016768,GO:0006597
IPR015578	Neurotrophin-3	interpro	family		PR01914	GO:0005165
IPR015590	Aldehyde dehydrogenase domain	interpro	domain		PF00171	GO:0016491
IPR015615	Transforming growth factor-beta-related	interpro	family		PTHR11848	GO:0005576
IPR015617	Growth differentiation factor-9, C-terminal	interpro	domain		cd19403	
IPR015618	Transforming growth factor beta-3	interpro	family		PR01426	GO:0005160
IPR015621	Interleukin-1 receptor family	interpro	family		PTHR11890	
IPR015631	CD2/SLAM family receptor	interpro	family		PTHR12080	GO:0016020
IPR015632	T-cell surface antigen CD2	interpro	family		PR01870	
IPR015633	E2F Family	interpro	family		PTHR12081	GO:0000978,GO:0006357
IPR015637	Uracil DNA glycosylase family 2	interpro	family		PTHR12159,cd10028	GO:0000700,GO:0006285
IPR015646	Nuclear factor of activated T-cells 5, Rel homology domain, DNA-binding domain	interpro	domain		cd07882	GO:0000978
IPR015648	Transcription factor DP	interpro	family		PIRSF009404,PTHR12548	GO:0051726,GO:0005667
IPR015649	Schwannomin interacting protein 1, C-terminal	interpro	domain		PF10148	
IPR015654	Mandelate racemase	interpro	family		SFLDF00004	GO:0018838
IPR015655	Protein phosphatase 2C	interpro	family		PTHR47992,PTHR13832	GO:0004722,GO:0006470
IPR015657	Aminobutyraldehyde dehydrogenase	interpro	family		cd07092	
IPR015659	Proline oxidase family	interpro	family		PTHR13914	GO:0004657,GO:0006562
IPR015660	Achaete-scute transcription factor-related	interpro	family		PTHR13935	GO:0003700,GO:0006357
IPR015661	Mitotic spindle checkpoint protein Bub1/Mad3	interpro	family		PTHR14030	GO:0007094
IPR015662	Promotilin	interpro	family		PTHR14156	
IPR015664	P53-induced protein	interpro	family		PTHR14399	
IPR015666	Sarcoplasmic reticulum histidine-rich calcium-binding protein	interpro	family		PTHR15054	GO:0005509
IPR015667	Telethonin	interpro	family		PF09470,PTHR15143	
IPR015668	B Cell Lymphoma 9	interpro	family		PTHR15185	GO:0003713,GO:0008013,GO:0060070
IPR015669	Endothelial protein C receptor	interpro	family		PTHR15349	GO:0038023
IPR015671	GLTSCR protein, conserved domain	interpro	domain		PF15249	
IPR015672	The Golgi pH regulator/GPCR-type G protein	interpro	family		PTHR15948	
IPR015673	Enamelin	interpro	family		PF15362,PTHR16784	
IPR015675	Secretin precursor	interpro	family		PTHR17378	
IPR015676	Tob1/2	interpro	family		PTHR17537	
IPR015679	Phospholipase D family	interpro	family		PTHR18896	
IPR015683	Ionotropic glutamate receptor	interpro	family		PTHR34836,PTHR18966	
IPR015685	Aquaporin 9	interpro	family		PR02021	
IPR015688	Elongation Factor 3, ABC2 domain, chromodomain-like insertion	interpro	domain		cd18626	
IPR015699	DNA-directed RNA pol I, largest subunit, N-terminal domain	interpro	domain		cd01435	
IPR015700	DNA-directed RNA polymerase III subunit RPC1	interpro	family		PTHR48446	
IPR015701	Ferredoxin--NADP reductase	interpro	family		PTHR43314,PIRSF000361	GO:0016491
IPR015707	Beta-2-Microglobulin	interpro	family		cd05770	GO:0006955,GO:0042612
IPR015712	DNA-directed RNA polymerase, subunit 2	interpro	family		cd00653,PTHR20856	GO:0003899,GO:0032549,GO:0006351
IPR015720	Transmembrane emp24 domain-containing protein	interpro	family		PTHR22811	
IPR015725	Myosin Light Chain Kinase 1, Kinase domain	interpro	domain		cd14191	GO:0004672,GO:0006468
IPR015727	Protein kinase C mu-related	interpro	family		PIRSF000552	GO:0004674,GO:0005524,GO:0006468
IPR015753	Leucine-rich repeat-containing protein 37	interpro	family		PTHR23045	
IPR015758	Ral guanine nucleotide dissociation stimulator, RA domain	interpro	domain		cd17209	
IPR015760	Translation initiation factor IF- 2	interpro	family		PTHR43381	
IPR015771	Anti-muellerian hormone receptor, type II	interpro	family		PIRSF037392	GO:0004675,GO:0005524,GO:0006468,GO:0016020
IPR015789	Twist-related, basic helix-loop-helix domain	interpro	domain		cd11464	
IPR015791	Antimicrobial/protein inhibitor, gamma-crystallin-like	interpro	homologous_superfamily		G3DSA:2.60.20.30	
IPR015792	Kinesin light chain repeat	interpro	repeat		PS01160	
IPR015793	Pyruvate kinase, barrel	interpro	domain		PF00224	GO:0000287,GO:0004743,GO:0030955,GO:0006096
IPR015795	Pyruvate kinase, C-terminal	interpro	domain		PF02887	
IPR015796	Impact YigZ-like	interpro	family		TIGR00257	
IPR015797	NUDIX hydrolase-like domain superfamily	interpro	homologous_superfamily		SSF55811	
IPR015798	Copper amine oxidase, catalytic domain	interpro	domain		PF01179	GO:0005507,GO:0008131,GO:0048038,GO:0009308
IPR015799	Influenza matrix M1, N-terminal subdomain 2	interpro	homologous_superfamily		G3DSA:1.10.10.180	GO:0003723,GO:0005198
IPR015800	Copper amine oxidase, N2-terminal	interpro	domain		PF02727	GO:0005507,GO:0008131,GO:0048038,GO:0009308
IPR015802	Copper amine oxidase, N3-terminal	interpro	domain		PF02728	GO:0005507,GO:0008131,GO:0048038,GO:0009308
IPR015803	Cysteine-tRNA ligase	interpro	family		MF_00041,TIGR00435	GO:0004817,GO:0005524,GO:0006423
IPR015806	Pyruvate kinase, insert domain superfamily	interpro	homologous_superfamily		G3DSA:2.40.33.10	GO:0004743,GO:0006096
IPR015807	Histidine-tRNA ligase	interpro	family		MF_00127,TIGR00442	GO:0004821,GO:0005524,GO:0006427
IPR015810	Photosynthetic reaction centre, H subunit, N-terminal	interpro	domain		PF03967	GO:0045156,GO:0019684,GO:0030077
IPR015811	Methyl-coenzyme M reductase, alpha subunit, N-terminal subdomain 1	interpro	homologous_superfamily		G3DSA:3.90.390.10	GO:0050524,GO:0015948
IPR015812	Integrin beta subunit	interpro	family		PS00243,PTHR10082,PIRSF002512,PR01186	
IPR015813	Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily	interpro	homologous_superfamily		SSF51621	GO:0003824
IPR015814	Phosphogluconate dehydrogenase, NAD-binding, putative, C-terminal	interpro	domain		PF09130	
IPR015815	3-hydroxyisobutyrate dehydrogenase-related	interpro	family		PIRSF000103	GO:0016491
IPR015816	Vitellinogen, beta-sheet N-terminal	interpro	homologous_superfamily		G3DSA:2.30.230.10	GO:0005319,GO:0006869
IPR015817	Vitellinogen, open beta-sheet, subdomain 1	interpro	homologous_superfamily		G3DSA:2.20.50.20	GO:0005319
IPR015819	Lipid transport protein, beta-sheet shell	interpro	homologous_superfamily		SSF56968	GO:0005319,GO:0006869
IPR015820	Ty transposon capsid protein	interpro	family		PF01021	GO:0003723,GO:0005737
